dia;mes;id_sentido; id_trecho; percentual_risco;id_risco
1;1;3;1;1.0;1
1;1;3;2;0.33;1
1;1;3;2;0.67;2
1;1;4;1;1.0;1
1;1;4;2;1.0;1
2;1;3;1;0.8;1
2;1;3;1;0.2;2
2;1;3;2;1.0;1
2;1;4;1;0.8;1
2;1;4;1;0.2;2
2;1;4;2;1.0;1
3;1;3;1;0.82;1
3;1;3;1;0.18;2
3;1;3;2;0.65;2
3;1;3;2;0.23;2
3;1;3;2;0.12;3
3;1;4;1;0.61;1
3;1;4;1;0.39;2
3;1;4;2;0.81;1
3;1;4;2;0.19;2
4;1;3;1;0.68;1
4;1;3;1;0.32;2
4;1;3;2;0.64;1
4;1;3;2;0.36;2
4;1;4;1;0.79;2
4;1;4;1;0.21;2
4;1;4;2;0.8;1
4;1;4;2;0.2;2
5;1;2;1;1.0;1
5;1;3;1;0.69;1
5;1;3;1;0.31;2
5;1;3;2;0.81;1
5;1;3;2;0.19;2
5;1;4;1;0.74;1
5;1;4;1;0.26;2
5;1;4;2;0.65;1
5;1;4;2;0.35;2
6;1;1;1;1.0;1
6;1;3;1;0.42;1
6;1;3;1;0.33;2
6;1;3;1;0.25;3
6;1;3;2;0.64;1
6;1;3;2;0.36;2
6;1;4;1;0.68;1
6;1;4;1;0.32;2
6;1;4;2;0.7;1
6;1;4;2;0.3;2
7;1;3;1;0.52;1
7;1;3;1;0.48;2
7;1;3;2;0.82;1
7;1;3;2;0.18;2
7;1;4;1;0.42;1
7;1;4;1;0.46;2
7;1;4;1;0.12;3
7;1;4;2;0.68;1
7;1;4;2;0.32;2
8;1;1;1;1.0;1
8;1;3;1;0.62;1
8;1;3;1;0.38;2
8;1;3;2;0.6;1
8;1;3;2;0.4;2
8;1;4;1;0.7;1
8;1;4;1;0.17;2
8;1;4;1;0.13;3
8;1;4;2;1.0;1
9;1;3;1;0.9;1
9;1;3;1;0.1;2
9;1;3;2;0.5;1
9;1;3;2;0.5;2
9;1;4;1;0.79;1
9;1;4;1;0.21;2
9;1;4;2;0.73;1
9;1;4;2;0.27;2
10;1;3;1;0.75;1
10;1;3;1;0.25;2
10;1;3;2;1.0;1
10;1;4;1;0.88;1
10;1;4;1;0.12;2
10;1;4;2;0.62;1
10;1;4;2;0.38;2
11;1;1;1;1.0;1
11;1;3;1;0.81;1
11;1;3;1;0.19;2
11;1;3;2;0.58;1
11;1;3;2;0.42;2
11;1;4;1;0.88;1
11;1;4;1;0.12;2
11;1;4;2;0.68;1
11;1;4;2;0.32;2
12;1;3;1;0.61;1
12;1;3;1;0.3;2
12;1;3;1;0.09;3
12;1;3;2;0.62;1
12;1;3;2;0.29;2
12;1;3;2;0.09;3
12;1;4;1;0.46;1
12;1;4;1;0.46;2
12;1;4;1;0.09;3
12;1;4;2;0.9;1
12;1;4;2;0.1;2
13;1;2;1;1.0;1
13;1;3;1;0.73;1
13;1;3;1;0.27;2
13;1;3;2;0.71;1
13;1;3;2;0.29;2
13;1;4;1;0.71;1
13;1;4;1;0.19;2
13;1;4;1;0.1;3
13;1;4;2;0.89;1
